user_id,signup_date,segment,email_sent_date,opened,clicked,upgraded_to_premium
user_1,2025-02-12,new,2025-03-03,1,0,0
user_2,2025-06-27,active,2025-07-06,1,0,0
user_3,2025-07-19,active,2025-07-21,1,0,0
user_4,2025-05-16,churned,2025-05-20,0,0,0
user_5,2025-05-24,new,2025-06-13,0,0,0
user_6,2025-05-29,new,2025-06-12,1,0,0
user_7,2025-06-20,new,2025-07-02,1,1,0
user_8,2025-06-29,active,2025-07-23,1,0,0
user_9,2025-02-02,churned,2025-02-28,0,0,0
user_10,2025-03-08,active,2025-03-19,0,0,0
user_11,2025-07-03,new,2025-07-17,0,0,0
user_12,2025-02-24,active,2025-03-16,1,0,0
user_13,2025-04-08,active,2025-04-25,1,1,0
user_14,2025-07-17,new,2025-07-21,1,1,0
user_15,2025-07-18,new,2025-07-31,1,0,0
user_16,2025-07-02,new,2025-07-31,1,0,0
user_17,2025-05-31,new,2025-06-19,1,0,0
user_18,2025-05-27,churned,2025-06-03,0,0,0
user_19,2025-03-18,new,2025-03-27,1,1,0
user_20,2025-02-21,new,2025-02-23,0,0,0
user_21,2025-07-19,churned,2025-08-11,0,0,0
user_22,2025-03-04,new,2025-03-18,0,0,0
user_23,2025-06-05,new,2025-06-06,1,0,0
user_24,2025-02-09,new,2025-02-26,0,0,0
user_25,2025-01-27,new,2025-02-26,0,0,0
user_26,2025-03-08,active,2025-04-03,0,0,0
user_27,2025-04-09,new,2025-04-27,0,0,0
user_28,2025-05-30,churned,2025-06-21,0,0,0
user_29,2025-04-02,churned,2025-04-26,0,0,0
user_30,2025-02-25,new,2025-03-21,1,0,0
user_31,2025-05-15,churned,2025-06-08,1,0,0
user_32,2025-07-24,new,2025-08-15,0,0,0
user_33,2025-06-15,new,2025-06-22,0,0,0
user_34,2025-01-28,active,2025-02-09,0,0,0
user_35,2025-04-08,active,2025-04-22,1,1,0
user_36,2025-04-29,active,2025-05-02,1,0,0
user_37,2025-05-15,new,2025-06-06,0,0,0
user_38,2025-06-16,new,2025-07-16,1,1,0
user_39,2025-05-31,churned,2025-06-11,1,0,0
user_40,2025-04-30,new,2025-05-20,0,0,0
user_41,2025-06-29,new,2025-07-10,1,1,1
user_42,2025-07-02,new,2025-07-24,0,0,0
user_43,2025-04-19,new,2025-05-17,1,0,0
user_44,2025-07-01,active,2025-07-05,0,0,0
user_45,2025-04-25,new,2025-05-19,0,0,0
user_46,2025-04-28,churned,2025-05-27,0,0,0
user_47,2025-02-21,new,2025-03-03,1,0,0
user_48,2025-05-19,churned,2025-06-05,0,0,0
user_49,2025-07-14,churned,2025-07-24,0,0,0
user_50,2025-03-30,new,2025-04-21,0,0,0
user_51,2025-03-10,active,2025-03-24,0,0,0
user_52,2025-06-24,active,2025-07-05,0,0,0
user_53,2025-04-20,active,2025-05-03,1,0,0
user_54,2025-07-05,active,2025-07-28,0,0,0
user_55,2025-03-06,churned,2025-03-16,0,0,0
user_56,2025-05-11,active,2025-05-29,0,0,0
user_57,2025-02-15,new,2025-02-20,0,0,0
user_58,2025-02-17,new,2025-02-24,1,0,0
user_59,2025-04-24,new,2025-05-08,1,0,0
user_60,2025-02-28,new,2025-03-22,0,0,0
user_61,2025-06-06,new,2025-06-19,1,0,0
user_62,2025-01-26,new,2025-02-17,1,1,0
user_63,2025-07-08,active,2025-08-01,1,1,0
user_64,2025-07-14,new,2025-08-12,1,1,0
user_65,2025-02-06,new,2025-02-12,0,0,0
user_66,2025-05-28,churned,2025-06-17,0,0,0
user_67,2025-05-12,new,2025-05-31,1,0,0
user_68,2025-07-05,active,2025-07-15,1,0,0
user_69,2025-05-27,new,2025-06-09,0,0,0
user_70,2025-06-30,active,2025-07-18,0,0,0
user_71,2025-04-19,active,2025-05-16,1,1,0
user_72,2025-05-15,new,2025-05-16,0,0,1
user_73,2025-03-31,new,2025-04-10,0,0,0
user_74,2025-02-13,active,2025-02-23,0,0,0
user_75,2025-04-23,active,2025-04-30,0,0,0
user_76,2025-06-14,active,2025-06-28,0,0,0
user_77,2025-04-22,active,2025-05-18,0,0,0
user_78,2025-04-26,new,2025-05-15,0,0,0
user_79,2025-06-02,new,2025-06-22,0,0,0
user_80,2025-02-04,new,2025-02-25,0,0,0
user_81,2025-05-18,active,2025-05-29,0,0,0
user_82,2025-01-27,churned,2025-02-11,0,0,0
user_83,2025-02-01,new,2025-02-16,1,0,0
user_84,2025-02-10,new,2025-02-25,1,0,0
user_85,2025-07-07,new,2025-07-29,1,0,0
user_86,2025-02-20,new,2025-02-27,0,0,0
user_87,2025-02-13,active,2025-03-02,1,1,0
user_88,2025-06-12,churned,2025-06-28,0,0,0
user_89,2025-03-11,active,2025-04-06,1,0,1
user_90,2025-05-24,new,2025-06-22,0,0,0
user_91,2025-06-14,new,2025-07-10,0,0,0
user_92,2025-03-29,active,2025-04-22,0,0,0
user_93,2025-04-19,active,2025-04-25,1,1,0
user_94,2025-05-17,churned,2025-06-08,0,0,0
user_95,2025-02-12,active,2025-02-15,1,0,0
user_96,2025-01-30,new,2025-02-09,1,1,0
user_97,2025-03-05,churned,2025-03-22,0,0,0
user_98,2025-05-30,new,2025-06-21,1,0,0
user_99,2025-01-31,new,2025-02-21,1,0,0
user_100,2025-05-03,new,2025-05-23,1,0,0
user_101,2025-07-11,new,2025-07-22,0,0,0
user_102,2025-05-28,churned,2025-05-31,0,0,0
user_103,2025-07-17,new,2025-08-13,0,0,0
user_104,2025-05-06,churned,2025-05-31,0,0,0
user_105,2025-04-14,active,2025-04-22,0,0,0
user_106,2025-05-18,new,2025-06-09,0,0,0
user_107,2025-07-09,new,2025-07-19,1,1,0
user_108,2025-06-01,active,2025-06-09,1,0,0
user_109,2025-03-02,new,2025-03-28,0,0,0
user_110,2025-05-06,new,2025-05-13,0,0,1
user_111,2025-06-01,new,2025-06-06,0,0,0
user_112,2025-02-08,new,2025-02-09,0,0,0
user_113,2025-03-20,active,2025-03-22,1,0,0
user_114,2025-04-15,active,2025-04-23,1,1,0
user_115,2025-02-11,churned,2025-02-27,0,0,0
user_116,2025-03-30,active,2025-04-19,1,0,0
user_117,2025-06-19,active,2025-07-17,1,1,0
user_118,2025-05-19,new,2025-06-13,1,1,1
user_119,2025-06-20,active,2025-06-23,1,1,0
user_120,2025-05-23,churned,2025-06-07,0,0,0
user_121,2025-03-04,active,2025-03-18,0,0,0
user_122,2025-03-10,active,2025-04-08,1,0,0
user_123,2025-05-19,new,2025-06-09,0,0,0
user_124,2025-02-26,new,2025-03-17,1,1,0
user_125,2025-04-07,new,2025-04-14,0,0,0
user_126,2025-02-26,new,2025-03-21,0,0,0
user_127,2025-04-14,active,2025-05-07,1,0,0
user_128,2025-04-24,active,2025-05-07,1,1,0
user_129,2025-05-30,new,2025-06-15,1,0,0
user_130,2025-06-20,churned,2025-07-03,0,0,0
user_131,2025-03-17,new,2025-03-25,0,0,0
user_132,2025-03-21,new,2025-03-26,0,0,0
user_133,2025-07-02,new,2025-07-23,0,0,0
user_134,2025-07-13,new,2025-08-05,0,0,0
user_135,2025-06-27,active,2025-06-28,0,0,0
user_136,2025-06-16,new,2025-07-15,0,0,0
user_137,2025-02-15,churned,2025-03-12,0,0,0
user_138,2025-06-15,active,2025-07-13,1,0,0
user_139,2025-02-01,new,2025-02-26,1,0,0
user_140,2025-04-08,active,2025-05-07,0,0,0
user_141,2025-02-23,active,2025-02-27,0,0,0
user_142,2025-07-09,new,2025-08-03,0,0,0
user_143,2025-04-18,new,2025-05-02,1,0,0
user_144,2025-04-19,new,2025-04-27,0,0,0
user_145,2025-02-23,new,2025-03-01,0,0,0
user_146,2025-03-28,new,2025-04-23,0,0,0
user_147,2025-03-12,churned,2025-04-04,0,0,0
user_148,2025-05-22,churned,2025-06-08,1,0,0
user_149,2025-03-06,new,2025-03-21,0,0,0
user_150,2025-07-23,new,2025-07-25,0,0,0
user_151,2025-02-01,active,2025-02-19,1,1,0
user_152,2025-06-26,new,2025-07-04,1,0,0
user_153,2025-02-01,new,2025-03-03,0,0,0
user_154,2025-03-10,new,2025-04-07,0,0,0
user_155,2025-05-18,active,2025-05-22,1,1,0
user_156,2025-02-11,new,2025-02-26,0,0,0
user_157,2025-04-29,churned,2025-05-04,0,0,0
user_158,2025-06-27,active,2025-07-23,1,1,1
user_159,2025-05-11,new,2025-05-26,1,0,0
user_160,2025-04-05,active,2025-04-27,0,0,0
user_161,2025-06-15,new,2025-07-02,0,0,0
user_162,2025-03-31,churned,2025-04-18,0,0,0
user_163,2025-07-25,churned,2025-08-14,0,0,0
user_164,2025-05-19,churned,2025-05-30,0,0,0
user_165,2025-03-19,new,2025-04-13,0,0,0
user_166,2025-06-10,active,2025-07-09,0,0,0
user_167,2025-03-18,new,2025-04-02,1,0,0
user_168,2025-06-28,new,2025-07-18,0,0,0
user_169,2025-02-15,new,2025-03-14,1,0,0
user_170,2025-05-10,churned,2025-06-03,0,0,0
user_171,2025-02-12,churned,2025-03-13,0,0,0
user_172,2025-03-18,new,2025-04-04,0,0,0
user_173,2025-02-20,churned,2025-03-06,0,0,0
user_174,2025-06-05,new,2025-07-02,1,0,0
user_175,2025-06-16,churned,2025-07-16,0,0,0
user_176,2025-04-21,new,2025-05-09,0,0,0
user_177,2025-06-14,churned,2025-06-29,0,0,0
user_178,2025-03-09,new,2025-04-07,0,0,0
user_179,2025-03-12,active,2025-03-18,0,0,0
user_180,2025-07-25,new,2025-08-18,1,0,0
user_181,2025-02-22,new,2025-03-22,1,0,0
user_182,2025-05-04,new,2025-05-20,0,0,0
user_183,2025-03-22,active,2025-04-06,0,0,0
user_184,2025-07-21,active,2025-07-30,1,1,0
user_185,2025-06-27,new,2025-07-22,1,1,0
user_186,2025-04-24,churned,2025-05-02,0,0,0
user_187,2025-05-08,active,2025-06-04,1,0,0
user_188,2025-05-25,churned,2025-06-15,0,0,0
user_189,2025-07-11,churned,2025-07-20,0,0,0
user_190,2025-05-25,new,2025-06-19,0,0,0
user_191,2025-03-02,new,2025-03-27,1,0,0
user_192,2025-07-05,active,2025-07-22,1,0,0
user_193,2025-07-04,active,2025-07-20,0,0,0
user_194,2025-03-23,churned,2025-04-13,0,0,0
user_195,2025-07-08,new,2025-07-16,1,0,0
user_196,2025-03-11,new,2025-03-20,0,0,0
user_197,2025-06-23,active,2025-07-08,1,0,0
user_198,2025-06-23,active,2025-06-26,0,0,0
user_199,2025-02-07,active,2025-03-02,0,0,0
user_200,2025-03-26,active,2025-04-05,0,0,0
user_201,2025-03-07,churned,2025-03-15,0,0,0
user_202,2025-06-13,new,2025-06-22,0,0,0
user_203,2025-05-19,new,2025-05-30,0,0,0
user_204,2025-03-12,active,2025-03-23,0,0,0
user_205,2025-02-20,churned,2025-03-21,0,0,0
user_206,2025-04-08,new,2025-04-26,1,1,0
user_207,2025-06-01,new,2025-06-04,0,0,0
user_208,2025-03-09,churned,2025-03-14,0,0,0
user_209,2025-01-30,new,2025-02-04,0,0,0
user_210,2025-06-04,new,2025-06-12,0,0,0
user_211,2025-05-07,churned,2025-05-20,0,0,0
user_212,2025-04-14,churned,2025-05-07,0,0,0
user_213,2025-02-04,churned,2025-02-09,0,0,0
user_214,2025-02-09,new,2025-03-04,0,0,0
user_215,2025-04-21,active,2025-04-28,1,0,0
user_216,2025-04-04,new,2025-04-07,0,0,0
user_217,2025-03-15,new,2025-03-29,1,1,0
user_218,2025-04-01,active,2025-04-15,1,0,0
user_219,2025-06-25,churned,2025-07-06,0,0,0
user_220,2025-05-23,active,2025-06-10,1,0,0
user_221,2025-05-29,churned,2025-06-13,0,0,0
user_222,2025-07-09,churned,2025-07-23,0,0,0
user_223,2025-04-30,new,2025-05-02,0,0,0
user_224,2025-07-20,new,2025-07-27,0,0,0
user_225,2025-02-25,new,2025-03-24,0,0,0
user_226,2025-03-06,new,2025-03-20,1,0,0
user_227,2025-05-28,active,2025-06-10,1,0,0
user_228,2025-02-25,new,2025-03-26,0,0,0
user_229,2025-05-30,active,2025-06-24,0,0,0
user_230,2025-07-24,churned,2025-08-12,0,0,0
user_231,2025-07-07,active,2025-07-30,1,0,0
user_232,2025-02-14,churned,2025-02-15,1,0,0
user_233,2025-07-10,churned,2025-08-07,0,0,0
user_234,2025-05-28,new,2025-06-26,0,0,0
user_235,2025-07-08,new,2025-08-02,0,0,0
user_236,2025-07-17,active,2025-08-05,0,0,0
user_237,2025-05-02,new,2025-05-15,0,0,0
user_238,2025-07-07,new,2025-07-23,1,1,0
user_239,2025-03-16,churned,2025-03-17,0,0,0
user_240,2025-05-26,new,2025-06-07,0,0,0
user_241,2025-05-15,active,2025-05-25,1,0,0
